X,Y,N
585838.5126671125,655144.2168445156,28260781.647676587
115984.78632761538,-29797.040607765317,227592.8220357895
1793066.608677595,-71734.70143332426,2703228.9087555856
-125430.56532480754,184657.61702028662,-216643.5251981616
-11641.555491119623,9076.760219991207,-34163.82589387894
-109360.27157584205,8508.723200291395,-133992.5292699337
-49588.15746479557,-3301.4578131890703,-41192.21054559032
386257.876439739,35546.31145670582,262729.7974263502
-1078483.73830291,-173882.82849052502,222682.08658022806
26928.53207047656,-35430.19778351858,426366.5269087553
1089819.8604677788,146955.48714686045,418238.9220100213
-267416.2921095523,-100489.46889482299,686969.091074219
-284560.869617018,-38284.88105236465,-208501.29876681278
